kavelid_vwg,kavel_label_vwg,plot_id,plot_naam,kavel_nummer_db,url
1,1A,3534,Meijendel k 1a,1a,https://www.vwg-m.nl/werkgroep/kavel.asp?id=1
2,1B,3505,Meijendel k 1b,1b,https://www.vwg-m.nl/werkgroep/kavel.asp?id=2
3,2,3523,Meijendel k 2,2,https://www.vwg-m.nl/werkgroep/kavel.asp?id=3
4,3,3504,Meijendel k 3,3,https://www.vwg-m.nl/werkgroep/kavel.asp?id=4
5,4/5,3581,Meijendel k 4-5,4-5,https://www.vwg-m.nl/werkgroep/kavel.asp?id=5
6,6,3521,Meijendel k 6,6,https://www.vwg-m.nl/werkgroep/kavel.asp?id=6
7,7,3498,Meijendel k 7,7,https://www.vwg-m.nl/werkgroep/kavel.asp?id=7
8,8,3530,Meijendel k 8,8,https://www.vwg-m.nl/werkgroep/kavel.asp?id=8
9,10/12/76,3502,Meijendel k 10-12-76,10-12-76,https://www.vwg-m.nl/werkgroep/kavel.asp?id=9
10,12A,3519,Meijendel k 12a,12a,https://www.vwg-m.nl/werkgroep/kavel.asp?id=10
11,13,3511,Meijendel k 13,13,https://www.vwg-m.nl/werkgroep/kavel.asp?id=11
12,13S,3506,Meijendel k 13s,13s,https://www.vwg-m.nl/werkgroep/kavel.asp?id=12
13,14,3512,Meijendel k 14,14,https://www.vwg-m.nl/werkgroep/kavel.asp?id=13
14,15,3524,Meijendel k 15,15,https://www.vwg-m.nl/werkgroep/kavel.asp?id=14
15,16,3525,Meijendel k 16,16,https://www.vwg-m.nl/werkgroep/kavel.asp?id=15
16,16S,29456,Meijendel k 16s,16s,https://www.vwg-m.nl/werkgroep/kavel.asp?id=16
17,17A,3513,Meijendel k 17a,17a,https://www.vwg-m.nl/werkgroep/kavel.asp?id=17
18,17B,3529,Meijendel k 17b,17b,https://www.vwg-m.nl/werkgroep/kavel.asp?id=18
19,31,29459,Meijendel k 31,31,https://www.vwg-m.nl/werkgroep/kavel.asp?id=19
20,32,3508,Meijendel k 32,32,https://www.vwg-m.nl/werkgroep/kavel.asp?id=20
21,33,3490,Meijendel k 33,33,https://www.vwg-m.nl/werkgroep/kavel.asp?id=21
