"kenmerk","waarde"
"analyseperiode","2000/01-2024/25"
"bezoeken_wintermaanden","3815"
"volledige_bezoeken","3764"
"onvolledige_bezoeken","51"
"bezoeken_alle_vogels","3318"
"bezoeken_waterprotocol","496"
"bezoeken_overig_protocol","1"
"bezoeken_zonder_telduur","1467"
"eerste_seizoen","2000"
"laatste_volledige_seizoen","2024"
"volledige_reguliere_bezoeken","3763"
"kavelmaanden_met_meerdere_tellingen","6"
"samengevoegde_aanvullingsbezoeken","1"
"niet_geselecteerde_meervoudige_bezoeken","5"
"handmatig_uitgesloten_afwijkende_teldata","0"
"geselecteerde_analysebezoeken","3757"
"canonieke_soorten","220"
"samengevoegde_broncodes","3"
"modelversie","winter-alle-soorten-v3-maandselectie"
