"seizoen_start","maand","geldige_bezoeken","geldige_plots","seizoen"
2000,1,17,17,"00/01"
2001,1,24,24,"01/02"
2002,1,21,21,"02/03"
2003,1,23,23,"03/04"
2004,1,25,25,"04/05"
2005,1,23,23,"05/06"
2006,1,21,21,"06/07"
2007,1,17,17,"07/08"
2008,1,23,23,"08/09"
2009,1,23,23,"09/10"
2010,1,21,21,"10/11"
2011,1,25,25,"11/12"
2012,1,16,16,"12/13"
2013,1,17,17,"13/14"
2014,1,19,19,"14/15"
2015,1,13,13,"15/16"
2016,1,26,26,"16/17"
2017,1,28,28,"17/18"
2018,1,26,26,"18/19"
2019,1,27,27,"19/20"
2020,1,25,25,"20/21"
2021,1,23,23,"21/22"
2022,1,24,24,"22/23"
2023,1,29,29,"23/24"
2024,1,26,26,"24/25"
2000,2,17,17,"00/01"
2001,2,24,24,"01/02"
2002,2,22,22,"02/03"
2003,2,16,16,"03/04"
2004,2,21,21,"04/05"
2005,2,21,21,"05/06"
2006,2,22,22,"06/07"
2007,2,19,19,"07/08"
2008,2,22,22,"08/09"
2009,2,17,17,"09/10"
2010,2,18,18,"10/11"
2011,2,20,20,"11/12"
2012,2,16,16,"12/13"
2013,2,18,18,"13/14"
2014,2,19,19,"14/15"
2015,2,19,19,"15/16"
2016,2,31,31,"16/17"
2017,2,31,31,"17/18"
2018,2,30,30,"18/19"
2019,2,23,23,"19/20"
2020,2,20,20,"20/21"
2021,2,25,25,"21/22"
2022,2,30,30,"22/23"
2023,2,28,28,"23/24"
2024,2,27,27,"24/25"
2002,3,17,17,"02/03"
2003,3,13,13,"03/04"
2004,3,19,19,"04/05"
2005,3,18,18,"05/06"
2006,3,17,17,"06/07"
2007,3,17,17,"07/08"
2008,3,14,14,"08/09"
2009,3,17,17,"09/10"
2010,3,18,18,"10/11"
2011,3,16,16,"11/12"
2012,3,14,14,"12/13"
2013,3,16,16,"13/14"
2014,3,18,18,"14/15"
2015,3,17,17,"15/16"
2016,3,30,30,"16/17"
2017,3,27,27,"17/18"
2018,3,26,26,"18/19"
2019,3,25,25,"19/20"
2020,3,24,24,"20/21"
2021,3,22,22,"21/22"
2022,3,23,23,"22/23"
2023,3,24,24,"23/24"
2024,3,19,19,"24/25"
2000,9,18,18,"00/01"
2001,9,20,20,"01/02"
2002,9,19,19,"02/03"
2003,9,17,17,"03/04"
2004,9,16,16,"04/05"
2005,9,16,16,"05/06"
2006,9,19,19,"06/07"
2007,9,16,16,"07/08"
2008,9,21,21,"08/09"
2009,9,20,20,"09/10"
2010,9,18,18,"10/11"
2011,9,4,4,"11/12"
2012,9,20,20,"12/13"
2013,9,16,16,"13/14"
2014,9,12,12,"14/15"
2015,9,19,19,"15/16"
2016,9,31,31,"16/17"
2017,9,30,30,"17/18"
2018,9,30,30,"18/19"
2019,9,28,28,"19/20"
2020,9,24,24,"20/21"
2021,9,20,20,"21/22"
2022,9,25,25,"22/23"
2023,9,24,24,"23/24"
2024,9,25,25,"24/25"
2000,10,18,18,"00/01"
2001,10,22,22,"01/02"
2002,10,22,22,"02/03"
2003,10,20,20,"03/04"
2004,10,23,23,"04/05"
2005,10,21,21,"05/06"
2006,10,21,21,"06/07"
2007,10,19,19,"07/08"
2008,10,21,21,"08/09"
2009,10,23,23,"09/10"
2010,10,21,21,"10/11"
2011,10,4,4,"11/12"
2012,10,20,20,"12/13"
2013,10,11,11,"13/14"
2014,10,17,17,"14/15"
2015,10,18,18,"15/16"
2016,10,32,32,"16/17"
2017,10,32,32,"17/18"
2018,10,31,31,"18/19"
2019,10,21,21,"19/20"
2020,10,26,26,"20/21"
2021,10,29,29,"21/22"
2022,10,27,27,"22/23"
2023,10,23,23,"23/24"
2024,10,25,25,"24/25"
2000,11,17,17,"00/01"
2001,11,23,23,"01/02"
2002,11,23,23,"02/03"
2003,11,21,21,"03/04"
2004,11,20,20,"04/05"
2005,11,21,21,"05/06"
2006,11,20,20,"06/07"
2007,11,19,19,"07/08"
2008,11,22,22,"08/09"
2009,11,20,20,"09/10"
2010,11,21,21,"10/11"
2011,11,25,25,"11/12"
2012,11,18,18,"12/13"
2013,11,17,17,"13/14"
2014,11,12,12,"14/15"
2015,11,17,17,"15/16"
2016,11,28,28,"16/17"
2017,11,32,32,"17/18"
2018,11,28,28,"18/19"
2019,11,28,28,"19/20"
2020,11,25,25,"20/21"
2021,11,26,26,"21/22"
2022,11,29,29,"22/23"
2023,11,30,30,"23/24"
2024,11,28,28,"24/25"
2000,12,17,17,"00/01"
2001,12,24,24,"01/02"
2002,12,20,20,"02/03"
2003,12,23,23,"03/04"
2004,12,22,22,"04/05"
2005,12,21,21,"05/06"
2006,12,22,22,"06/07"
2007,12,20,20,"07/08"
2008,12,19,19,"08/09"
2009,12,20,20,"09/10"
2010,12,13,13,"10/11"
2011,12,20,20,"11/12"
2012,12,20,20,"12/13"
2013,12,19,19,"13/14"
2014,12,16,16,"14/15"
2015,12,23,23,"15/16"
2016,12,29,29,"16/17"
2017,12,31,31,"17/18"
2018,12,28,28,"18/19"
2019,12,28,28,"19/20"
2020,12,24,24,"20/21"
2021,12,25,25,"21/22"
2022,12,23,23,"22/23"
2023,12,32,32,"23/24"
2024,12,24,24,"24/25"
