"soort_id","soort_naam","winters_met_detectie","bezoeken_met_detectie","plots_met_detectie","totaal_geregistreerd","maximum_bezoektotaal","voorlopige_klasse","protocolgroep","soortgroep","opmerking"
180,"Cetti's Zanger",7,277,23,684,15,"alleen_beschrijvend","alle_volledige_bezoeken","water_wetland","Onvoldoende positieve bezoeken of winters voor de volledige modelvalidatie; beschrijvende uitvoer blijft beschikbaar."
71,"Gewone Fazant",12,177,27,389,17,"alleen_beschrijvend","alle_volledige_bezoeken","overige_vogels","Onvoldoende positieve bezoeken of winters voor de volledige modelvalidatie; beschrijvende uitvoer blijft beschikbaar."
173,"Tapuit",25,93,24,186,15,"alleen_beschrijvend","alle_volledige_bezoeken","overige_vogels","Onvoldoende positieve bezoeken of winters voor de volledige modelvalidatie; beschrijvende uitvoer blijft beschikbaar."
170,"Gekraagde Roodstaart",24,92,30,181,16,"alleen_beschrijvend","alle_volledige_bezoeken","overige_vogels","Onvoldoende positieve bezoeken of winters voor de volledige modelvalidatie; beschrijvende uitvoer blijft beschikbaar."
58,"Blauwe Kiekendief",23,91,26,92,2,"alleen_beschrijvend","alle_volledige_bezoeken","overige_vogels","Onvoldoende positieve bezoeken of winters voor de volledige modelvalidatie; beschrijvende uitvoer blijft beschikbaar."
67,"Slechtvalk",21,91,20,121,3,"alleen_beschrijvend","alle_volledige_bezoeken","overige_vogels","Onvoldoende positieve bezoeken of winters voor de volledige modelvalidatie; beschrijvende uitvoer blijft beschikbaar."
37,"Soepeend",21,90,17,147,9,"alleen_beschrijvend","alle_volledige_bezoeken","water_wetland","Onvoldoende positieve bezoeken of winters voor de volledige modelvalidatie; beschrijvende uitvoer blijft beschikbaar."
88,"Kievit",25,84,15,262,14,"alleen_beschrijvend","alle_volledige_bezoeken","water_wetland","Onvoldoende positieve bezoeken of winters voor de volledige modelvalidatie; beschrijvende uitvoer blijft beschikbaar."
162,"Witte Kwikstaart",13,78,28,174,25,"alleen_beschrijvend","alle_volledige_bezoeken","overige_vogels","Onvoldoende positieve bezoeken of winters voor de volledige modelvalidatie; beschrijvende uitvoer blijft beschikbaar."
155,"Boompieper",19,73,20,154,7,"alleen_beschrijvend","alle_volledige_bezoeken","overige_vogels","Onvoldoende positieve bezoeken of winters voor de volledige modelvalidatie; beschrijvende uitvoer blijft beschikbaar."
