"maand","totaal_aantal","detecties","geldige_bezoeken","gemiddeld_per_bezoek","waarnemingsfrequentie","schatting_aantal","ondergrens_aantal","bovengrens_aantal","schatting_detectie","ondergrens_detectie","bovengrens_detectie","maandindex","soort_id","soort_naam","modelstatus","weergavetype"
"dec",1971,145,563,3.50088809946714,0.257548845470693,0.088567094296938,0.0293725174824647,0.232209683853437,0.0729138487508834,0.0301157367352013,0.15161259868077,77.9863425532046,5,"Aalscholver","indicatief","modelindex"
"feb",1139,102,556,2.04856115107914,0.183453237410072,0.0533422845561926,0.0174626681096343,0.137010895313154,0.0390568751366653,0.0151699937485167,0.0853824695197792,46.9696980463495,5,"Aalscholver","indicatief","modelindex"
"jan",1002,124,562,1.78291814946619,0.220640569395018,0.0736977824168621,0.0232165656168386,0.200004577234582,0.0534994433998153,0.0222438319606222,0.110745588183658,64.8934070898118,5,"Aalscholver","indicatief","modelindex"
"mrt",3670,102,451,8.13747228381375,0.226164079822616,0.149620785003017,0.0511301998093354,0.382785499878569,0.0598667851348124,0.0230352536298048,0.12506387145288,131.746196315352,5,"Aalscholver","indicatief","modelindex"
"nov",2223,176,570,3.9,0.308771929824561,0.150767215526891,0.0525366495442906,0.396059029399114,0.105819399271529,0.0460736723361359,0.20553004765114,132.755667431662,5,"Aalscholver","indicatief","modelindex"
"okt",2583,151,547,4.72212065813528,0.276051188299817,0.133475900018186,0.0456494919557513,0.340851612821144,0.0901865232646906,0.0376708018499421,0.185427704220212,117.530075295418,5,"Aalscholver","indicatief","modelindex"
"sep",2136,158,508,4.20472440944882,0.311023622047244,0.145501031732274,0.0455871081566135,0.371047437885546,0.113354582611411,0.0495173509942633,0.217728009201252,128.118613268202,5,"Aalscholver","indicatief","modelindex"
"dec",1,1,563,0.00177619893428064,0.00177619893428064,,,,,,,,248,"Appelvink","alleen_beschrijvend","beschrijvend"
"feb",3,3,556,0.00539568345323741,0.00539568345323741,,,,,,,,248,"Appelvink","alleen_beschrijvend","beschrijvend"
"jan",5,3,562,0.00889679715302491,0.00533807829181495,,,,,,,,248,"Appelvink","alleen_beschrijvend","beschrijvend"
"mrt",22,10,451,0.048780487804878,0.0221729490022173,,,,,,,,248,"Appelvink","alleen_beschrijvend","beschrijvend"
"nov",2,1,570,0.00350877192982456,0.00175438596491228,,,,,,,,248,"Appelvink","alleen_beschrijvend","beschrijvend"
"okt",12,6,547,0.0219378427787934,0.0109689213893967,,,,,,,,248,"Appelvink","alleen_beschrijvend","beschrijvend"
"sep",6,4,508,0.0118110236220472,0.0078740157480315,,,,,,,,248,"Appelvink","alleen_beschrijvend","beschrijvend"
"dec",17,8,563,0.0301953818827709,0.0142095914742451,,,,,,,,206,"Baardmannetje","alleen_beschrijvend","beschrijvend"
"feb",13,4,556,0.0233812949640288,0.00719424460431655,,,,,,,,206,"Baardmannetje","alleen_beschrijvend","beschrijvend"
"jan",7,3,562,0.0124555160142349,0.00533807829181495,,,,,,,,206,"Baardmannetje","alleen_beschrijvend","beschrijvend"
"mrt",1,1,451,0.00221729490022173,0.00221729490022173,,,,,,,,206,"Baardmannetje","alleen_beschrijvend","beschrijvend"
"nov",35,12,570,0.0614035087719298,0.0210526315789474,,,,,,,,206,"Baardmannetje","alleen_beschrijvend","beschrijvend"
"okt",141,23,547,0.257769652650823,0.0420475319926874,,,,,,,,206,"Baardmannetje","alleen_beschrijvend","beschrijvend"
"sep",0,0,508,0,0,,,,,,,,206,"Baardmannetje","alleen_beschrijvend","beschrijvend"
"dec",42,6,563,0.0746003552397869,0.0106571936056838,,,,,,,,240,"Barmsijs","alleen_beschrijvend","beschrijvend"
"feb",1,1,556,0.00179856115107914,0.00179856115107914,,,,,,,,240,"Barmsijs","alleen_beschrijvend","beschrijvend"
"jan",13,5,562,0.0231316725978648,0.00889679715302491,,,,,,,,240,"Barmsijs","alleen_beschrijvend","beschrijvend"
"mrt",1,1,451,0.00221729490022173,0.00221729490022173,,,,,,,,240,"Barmsijs","alleen_beschrijvend","beschrijvend"
