"soort_id","soort_naam","soortgroep","protocolgroep","telkarakteristiek","bron_soort_ids","voorlopige_klasse","geldige_bezoeken","detecties","winters","plots","maximum_bezoektotaal","pct_nul","trend_aantal_pct_per_jaar","trend_aantal_laag","trend_aantal_hoog","trend_detectie_pct_per_jaar","trend_detectie_laag","trend_detectie_hoog","trend_getrimd_pct_per_jaar","trend_vanaf_2012_pct_per_jaar","zelfde_trendrichting","robuust_tegen_extremen","robuust_met_telduur","modellen_geconvergeerd","voorspellingen_geldig","model_getest","advies","reden_status"
5,"Aalscholver","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","5","kansrijk",3757,958,25,50,535,74.5009315943572,3.44478780060584,1.93374269349458,4.9782323336127,3.18707941171283,1.67855821642684,4.71798129606977,3.33595210422124,-0.688352462500785,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"indicatief","kernmodellen bruikbaar; minimaal één gevoeligheidscontrole vraagt terughoudendheid"
248,"Appelvink","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","248","alleen_beschrijvend",3757,28,25,50,7,99.2547245142401,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
206,"Baardmannetje","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","206","alleen_beschrijvend",3757,51,25,50,36,98.6425339366516,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
240,"Barmsijs","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","240","alleen_beschrijvend",3757,25,25,50,18,99.3345754591429,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
174,"Beflijster","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","174","alleen_beschrijvend",3757,24,25,50,15,99.3611924407772,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
29,"Bergeend","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","29","alleen_beschrijvend",3757,16,25,50,2,99.5741282938515,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
525,"Bladkoning","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","525","alleen_beschrijvend",3757,35,25,50,4,99.0684056428001,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
168,"Blauwborst","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","168","alleen_beschrijvend",3757,13,25,50,6,99.6539792387543,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
58,"Blauwe Kiekendief","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","58","alleen_beschrijvend",3757,91,25,50,2,97.5778546712803,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
11,"Blauwe Reiger","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","11","kansrijk",3757,1264,25,50,21,66.3561352142667,0.0629046565902236,-0.718159594353374,0.850113650234108,-0.790603866618855,-2.04212179147499,0.476903554384833,0.367729842350517,-3.27881499448691,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"indicatief","kernmodellen bruikbaar; minimaal één gevoeligheidscontrole vraagt terughoudendheid"
