"soort_id","soort_naam","latijnse_naam","bron_soort_ids","familie","soortgroep","protocolgroep","geldige_tellingtypen","toewijzingsbron","matrixversie","toelichting"
5,"Aalscholver","Phalacrocorax carbo","5","Aalscholvers","water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","bestaande soortfamilie","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
248,"Appelvink","Coccothraustes coccothraustes","248","Vinken","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
206,"Baardmannetje","Panurus biarmicus","206","Baardmannen","water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","bestaande EVG-water/rietgroep","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
240,"Barmsijs","Acanthis flammea","240","Vinken","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
174,"Beflijster","Turdus torquatus","174","Lijsters","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
29,"Bergeend","Tadorna tadorna","29","Eenden","water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","bestaande EVG-water/rietgroep","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
525,"Bladkoning","Phylloscopus inornatus","525",,"overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
168,"Blauwborst","Luscinia svecica","168","Vliegenvangers","water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","bestaande EVG-water/rietgroep","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
58,"Blauwe Kiekendief","Circus cyaneus","58","Sperwers","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
11,"Blauwe Reiger","Ardea cinerea","11","Reigers","water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","bestaande soortfamilie","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
152,"Boerenzwaluw","Hirundo rustica","152","Zwaluwen","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
